name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
backbone.2.m.2.cv1.bn,BatchNorm2d,Backbone,Enclave,2.945936200012511,0.4595430795007378,2.6567750001049717,3.856459999951767,3.6516935999316047,3.8155067199477344,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.2.cv1.conv'],5,13108224,13108224,60,13108284,512,512,13107200,1,60
backbone.2.m.2.cv1.silu,SiLU,Backbone,Enclave,18.400481999742624,0.039613809336944764,18.330240000068443,18.450004999976954,18.444073399950867,18.448818679971737,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.2.cv1.bn'],5,13107200,13107200,60,13107260,0,0,13107200,1,60
backbone.2.m.2.cv2.conv,Conv2d,Backbone,Enclave,313.12040200009505,3.734191652412322,308.53541000033147,317.5845220002884,317.57532180017733,317.5826819602662,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.2.cv1.silu'],5,13254912,13254912,60,13254972,147456,256,13107200,1,60
backbone.2.m.2.cv2.bn,BatchNorm2d,Backbone,Enclave,2.7308598000672646,0.024630856730412376,2.6934699999401346,2.755879999313038,2.754750199528644,2.755654039356159,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.2.cv2.conv'],5,13108224,13108224,60,13108284,512,512,13107200,1,60
backbone.2.m.2.cv2.silu,SiLU,Backbone,Enclave,19.540078200225253,1.553677204574111,18.378460999883828,22.52939600020909,21.939845400265767,22.411485880220425,0.0,0.0,0.0,0.0,6553600,6553600,"[1, 64, 160, 160]","[1, 64, 160, 160]",['backbone.2.m.2.cv2.bn'],5,13107200,13107200,60,13107260,0,0,13107200,1,60
backbone.2.concat,Concat,Backbone,CPU,0.6961878001675359,0.08330249133745878,0.5933040001764311,0.8223290005844319,0.8089410004686215,0.8196514005612698,0.0,0.0,0.0,0.0,13107200,13107200,"[1, 64, 160, 160]","[1, 128, 160, 160]","['backbone.2.m.2.cv2.silu', 'backbone.2.cv2.silu']",5,19660800,19660800,120,19660920,0,0,19660800,2,60
backbone.2.cv3.conv,Conv2d,Backbone,Enclave,253.22137839975767,2.8023347138587926,248.7281020003138,257.14418699953967,256.69531379953696,257.0544123595391,0.0,0.0,0.0,0.0,13107200,13107200,"[1, 128, 160, 160]","[1, 128, 160, 160]",['backbone.2.concat'],5,26280448,26280448,120,26280568,65536,512,26214400,2,60
backbone.2.cv3.bn,BatchNorm2d,Backbone,Enclave,5.921423000108916,0.09426022999919317,5.816194000544783,6.051733999811404,6.044037399988156,6.050194679846754,0.0,0.0,0.0,0.0,13107200,13107200,"[1, 128, 160, 160]","[1, 128, 160, 160]",['backbone.2.cv3.conv'],5,26216448,26216448,120,26216568,1024,1024,26214400,2,60
backbone.2.cv3.silu,SiLU,Backbone,Enclave,41.85312219997286,4.148493269844808,39.51737100032915,50.115963999814994,48.19559219977236,49.73188963980647,0.0,0.0,0.0,0.0,13107200,13107200,"[1, 128, 160, 160]","[1, 128, 160, 160]",['backbone.2.cv3.bn'],5,26214400,26214400,120,26214520,0,0,26214400,2,60
backbone.3.conv,Conv2d,Backbone,Enclave,260.2426206000018,3.1758625143319286,255.26516100035224,264.43943300000683,264.0883613999904,264.36921868000354,0.0,0.0,0.0,0.0,13107200,6553600,"[1, 128, 160, 160]","[1, 256, 80, 80]",['backbone.2.cv3.silu'],5,20841472,20841472,120,20841592,1179648,1024,19660800,2,60
