LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations,CPU_Memory_Bytes,TEE_Memory_Bytes,TEE_Encryption_Overhead,TEE_Total_Memory_Bytes,Weight_Bytes,Bias_Bytes,Activation_Bytes,Num_Chunks,Chunk_Metadata_Bytes
inception_a2_b2_relu2,SecretReLULayer,Inception-A2,0.3882,0.0209,0.366,0.4391,0.4239,0.436,0.0121,0.0001,0.012,0.0125,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",inception_a2_b2_3x3,10,940800,940800,60,940860,0,0,940800,1,60
inception_a2_b3_1x1,SGXConvBase,Inception-A2,12.2447,0.2787,11.9989,12.872,12.777,12.853,0.3894,0.0115,0.3763,0.4166,235200,235200,"[1, 256, 35, 35]","[1, 48, 35, 35]",inception_a1_concat,10,1538944,1538944,120,1539064,49152,192,1489600,2,60
inception_a2_b3_relu1,SecretReLULayer,Inception-A2,0.2504,0.0209,0.2237,0.2904,0.2887,0.29,0.0203,0.003,0.0187,0.0279,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",inception_a2_b3_1x1,10,470400,470400,60,470460,0,0,470400,1,60
inception_a2_b3_3x3_1,SGXConvBase,Inception-A2,7.5697,0.0422,7.5128,7.6517,7.6376,7.6489,0.6113,0.0095,0.5972,0.6221,313600,313600,"[1, 48, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_relu1,10,659648,659648,60,659708,110592,256,548800,1,60
inception_a2_b3_relu2,SecretReLULayer,Inception-A2,0.2952,0.0201,0.2625,0.3261,0.3196,0.3248,0.01,0.0003,0.0098,0.0109,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_3x3_1,10,627200,627200,60,627260,0,0,627200,1,60
inception_a2_b3_3x3_2,SGXConvBase,Inception-A2,9.6837,0.0769,9.5292,9.8248,9.7901,9.8179,0.6102,0.0101,0.5953,0.6247,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_relu2,10,774912,774912,60,774972,147456,256,627200,1,60
inception_a2_b3_relu3,SecretReLULayer,Inception-A2,0.3048,0.0206,0.265,0.3422,0.3356,0.3409,0.0133,0.0043,0.0097,0.0189,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a2_b3_3x3_2,10,627200,627200,60,627260,0,0,627200,1,60
inception_a2_b4_pool,SecretMaxpool2dLayer,Inception-A2,0.3898,0.0172,0.3598,0.4125,0.4116,0.4123,6.0062,0.0264,5.9691,6.0436,940800,940800,"[1, 256, 35, 35]","[1, 256, 35, 35]",inception_a1_concat,10,2508800,2508800,180,2508980,0,0,2508800,3,60
inception_a2_b4_1x1,SGXConvBase,Inception-A2,5.6251,0.0692,5.5428,5.7505,5.7494,5.7503,0.213,0.0096,0.2008,0.2299,156800,156800,"[1, 256, 35, 35]","[1, 32, 35, 35]",inception_a2_b4_pool,10,1444096,1444096,120,1444216,32768,128,1411200,2,60
inception_a2_b4_relu,SecretReLULayer,Inception-A2,0.1911,0.0076,0.1818,0.2066,0.205,0.2063,0.0104,0.0015,0.0096,0.0149,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",inception_a2_b4_1x1,10,313600,313600,60,313660,0,0,313600,1,60
inception_a2_concat,SecretConcatenateLayer,Inception-A2,0.2189,0.0078,0.2053,0.2352,0.2309,0.2344,0.01,0,0.01,0.01,1254400,1254400,[],"[1, 256, 35, 35]",inception_a2_b1_relu;inception_a2_b2_relu2;inception_a2_b3_relu3;inception_a2_b4_relu,10,1254400,1254400,120,1254520,0,0,1254400,2,60
inception_a3_b1_1x1,SGXConvBase,Inception-A3,13.5896,0.3317,13.2759,14.3417,14.1785,14.3091,0.6174,0.0111,0.6012,0.6381,313600,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a2_concat,10,1633792,1633792,120,1633912,65536,256,1568000,2,60
inception_a3_b1_relu,SecretReLULayer,Inception-A3,0.2981,0.0093,0.2832,0.3127,0.3113,0.3125,0.0127,0.0033,0.0099,0.0189,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",inception_a3_b1_1x1,10,627200,627200,60,627260,0,0,627200,1,60
inception_a3_b2_1x1,SGXConvBase,Inception-A3,15.2736,0.1375,15.1139,15.479,15.4766,15.4785,0.6113,0.0075,0.6,0.6275,313600,313600,"[1, 256, 35, 35]","[1, 64, 35, 35]",inception_a2_concat,10,1633792,1633792,120,1633912,65536,256,1568000,2,60
