name,type,group,execution_mode,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
encoder7_attn_head6_attn_v_matmul,MatMul,Encoder7_Head6,Enclave,0.2447022001433652,0.01364632752881461,0.23117900127545,0.27864999901794363,0.2671560998351197,0.27635121918137884,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder7_attn_head6_softmax', 'encoder7_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head7_qk_matmul,MatMul,Encoder7_Head7,Enclave,0.45399339996947674,0.09132905490360382,0.38998200034257025,0.6418770008167485,0.6356278499879409,0.640627170650987,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder7_attn_q_proj', 'encoder7_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head7_softmax,Softmax,Encoder7_Head7,Enclave,0.2579305997642223,0.012455387047445289,0.24251700051536318,0.2815179996105144,0.2779769500193652,0.28080978969228454,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder7_attn_head7_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder7_attn_head7_attn_v_matmul,MatMul,Encoder7_Head7,Enclave,0.3036346999579109,0.09853360802570055,0.23740799952065572,0.5145289997017244,0.4948401498040766,0.5105912297221948,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder7_attn_head7_softmax', 'encoder7_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head8_qk_matmul,MatMul,Encoder7_Head8,Enclave,0.4742993003674201,0.11261633980287432,0.39073199877748266,0.6943039988982491,0.693257749935583,0.6940947491057159,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder7_attn_q_proj', 'encoder7_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head8_softmax,Softmax,Encoder7_Head8,Enclave,0.26583689996186877,0.019639797030633305,0.24686800134077203,0.3114949995506322,0.3017169504346384,0.30953938972743344,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder7_attn_head8_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder7_attn_head8_attn_v_matmul,MatMul,Encoder7_Head8,Enclave,0.2661048998561455,0.039185848150902224,0.23497099937230814,0.3689739987748908,0.33793434940889705,0.36276606890169205,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder7_attn_head8_softmax', 'encoder7_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head9_qk_matmul,MatMul,Encoder7_Head9,Enclave,0.4499355000007199,0.08839817665328473,0.3903149990946986,0.7084249991748948,0.5953381992185311,0.6858076391836221,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 64]","[1, 1, 128, 128]","['encoder7_attn_q_proj', 'encoder7_attn_k_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
encoder7_attn_head9_softmax,Softmax,Encoder7_Head9,Enclave,0.2692387999559287,0.009542229563472423,0.2522899994801264,0.2807180007948773,0.28002050039503956,0.28057850071490975,0.0,0.0,0.0,0.0,65536,65536,"[1, 1, 128, 128]","[1, 1, 128, 128]",['encoder7_attn_head9_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,131072,131072,60,131132,0,0,131072,1,60
encoder7_attn_head9_attn_v_matmul,MatMul,Encoder7_Head9,Enclave,0.26306690015189815,0.029957468785050286,0.23761500051477924,0.3191249998053536,0.3178811998623132,0.3188762398167455,0.0,0.0,0.0,0.0,98304,32768,"[1, 1, 128, 128]","[1, 1, 128, 64]","['encoder7_attn_head9_softmax', 'encoder7_attn_v_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0.0,0.0,98304,98304,60,98364,0,0,98304,1,60
