name,type,group,enclave_time_mean,enclave_time_std,enclave_time_min,enclave_time_max,enclave_time_p95,enclave_time_p99,cpu_time_mean,cpu_time_std,cpu_time_min,cpu_time_max,input_bytes,output_bytes,input_shape,output_shape,dependencies,num_iterations,xfer_edges_json,xfer_total_mean_ms,compute_mean_ms,cpu_memory_bytes,tee_memory_bytes,tee_encryption_overhead,tee_total_memory_bytes,weight_bytes,bias_bytes,activation_bytes,num_chunks,chunk_metadata_bytes
block2_attn_v_matmul,MatMul,Block2,16.266861,0.261115927,15.825727,16.64566,16.6302466,16.64257732,0.5097300998,0.01343994711,0.4954609994,0.5396199995,2468016,605184,"[1, 12, 197, 197]","[1, 12, 197, 64]","['block2_attn_softmax', 'block2_attn_qkv_proj']",10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block2_attn_out_proj,Linear,Block2,3.599628901,0.07775262174,3.523563,3.774979001,3.74906035,3.769795271,1.6339391,0.01848244194,1.599761999,1.664421,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block2_attn_v_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3572736,3572736,60,3572796,2359296,3072,1210368,1,60
block2_norm2,LayerNorm,Block2,0.4229613001,0.02232713991,0.4029529991,0.4740900004,0.4617190504,0.4716158104,0.08338100006,0.006645337384,0.07788099992,0.09484700058,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block2_attn_out_proj'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block2_ffn_fc1,Linear,Block2,30.592566,0.4235605181,29.856435,31.107608,31.04651735,31.09538987,6.5811164,0.2155215592,6.228905,6.835372001,605184,2420736,"[1, 197, 768]","[1, 197, 3072]",['block2_norm2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12475392,12475392,60,12475452,9437184,12288,3025920,1,60
block2_ffn_gelu,GELU,Block2,14.7654725,0.07069733082,14.680906,14.927239,14.8792456,14.91764032,1.4178989,0.05038974576,1.331226999,1.495637,2420736,2420736,"[1, 197, 3072]","[1, 197, 3072]",['block2_ffn_fc1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,4841472,4841472,60,4841532,0,0,4841472,1,60
block2_ffn_fc2,Linear,Block2,14.0824448,0.3918340996,13.415587,14.821355,14.67818345,14.79272069,6.8858024,0.2495073564,6.483147,7.311762,2420736,605184,"[1, 197, 3072]","[1, 197, 768]",['block2_ffn_gelu'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,12466176,12466176,60,12466236,9437184,3072,3025920,1,60
block3_norm1,LayerNorm,Block3,0.3976988,0.03546431678,0.3627770002,0.4979289988,0.458571549,0.4900575089,0.08727929999,0.009801453438,0.07852999988,0.1087120008,605184,605184,"[1, 197, 768]","[1, 197, 768]",['block2_ffn_fc2'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,1216512,1216512,60,1216572,3072,3072,1210368,1,60
block3_attn_qkv_proj,Linear,Block3,23.8225702,0.4088700843,23.102119,24.364272,24.34596375,24.36061035,5.0778911,0.1655329631,4.811957,5.311933,605184,1815552,"[1, 197, 768]","[1, 197, 2304]",['block3_norm1'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,9507840,9507840,60,9507900,7077888,9216,2420736,1,60
block3_attn_qk_matmul,MatMul,Block3,22.6616941,0.1671915416,22.363091,22.934973,22.90080675,22.92813975,0.7209588,0.01179126976,0.7011629996,0.7445040001,1210368,1862832,"[1, 12, 197, 64]","[1, 12, 197, 197]",['block3_attn_qkv_proj'],10,"{""input1->matmul"": {""enclave_get_ms"": 0.0}, ""input2->matmul"": {""enclave_get_ms"": 0.0}, ""matmul->output"": {""enclave_store_ms"": 0.0}}",0,0,3073200,3073200,60,3073260,0,0,3073200,1,60
block3_attn_softmax,Softmax,Block3,5.2413311,0.04799744852,5.207573,5.376704999,5.3234934,5.36606268,0.7503679,0.01836407058,0.7204980002,0.7767590005,1862832,1862832,"[1, 12, 197, 197]","[1, 12, 197, 197]",['block3_attn_qk_matmul'],10,"{""input->op"": {""enclave_get_ms"": 0.0}, ""op->output"": {""enclave_store_ms"": 0.0}}",0,0,3725664,3725664,60,3725724,0,0,3725664,1,60
