9LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
inception_a2_b3_relu1,SecretReLULayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0203,0.0030,0.0187,0.0279,235200,235200,"[1, 48, 35, 35]","[1, 48, 35, 35]",,10
inception_a2_b3_3x3_1,SGXConvBase,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6113,0.0095,0.5972,0.6221,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a2_b3_relu2,SecretReLULayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0003,0.0098,0.0109,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a2_b3_3x3_2,SGXConvBase,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6102,0.0101,0.5953,0.6247,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a2_b3_relu3,SecretReLULayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0133,0.0043,0.0097,0.0189,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a2_b4_pool,SecretMaxpool2dLayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.0062,0.0264,5.9691,6.0436,940800,940800,"[1, 192, 35, 35]","[1, 192, 35, 35]",,10
inception_a2_b4_1x1,SGXConvBase,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2130,0.0096,0.2008,0.2299,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",,10
inception_a2_b4_relu,SecretReLULayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0104,0.0015,0.0096,0.0149,156800,156800,"[1, 32, 35, 35]","[1, 32, 35, 35]",,10
inception_a2_concat,SecretConcatenateLayer,Inception-A2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0100,0.0100,1254400,1254400,"[1, 256, 35, 35]","[1, 256, 35, 35]",,10
inception_a3_b1_1x1,SGXConvBase,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6174,0.0111,0.6012,0.6381,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a3_b1_relu,SecretReLULayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0127,0.0033,0.0099,0.0189,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a3_b2_1x1,SGXConvBase,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6113,0.0075,0.6000,0.6275,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a3_b2_relu1,SecretReLULayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0130,0.0039,0.0099,0.0187,313600,313600,"[1, 64, 35, 35]","[1, 64, 35, 35]",,10
inception_a3_b2_3x3,SGXConvBase,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2598,0.0126,1.2437,1.2878,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",,10
inception_a3_b2_relu2,SecretReLULayer,Inception-A3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,0.0011,0.0119,0.0152,470400,470400,"[1, 96, 35, 35]","[1, 96, 35, 35]",,10
