LayerName,Type,Group,EnclaveTime_mean,EnclaveTime_std,EnclaveTime_min,EnclaveTime_max,EnclaveTime_p95,EnclaveTime_p99,CPUTime_mean,CPUTime_std,CPUTime_min,CPUTime_max,InputBytes,OutputBytes,InputShape,OutputShape,Dependencies,NumIterations
inception_b1_b4_1x1,SGXConvBase,Inception-B1,17.7978,0.1032,17.5843,17.9366,17.9267,17.9346,0,0,0,0,1183744,221952,"[1, 1024, 17, 17]","[1, 192, 17, 17]",inception_b1_b4_pool,10
inception_b1_b4_relu,SecretReLULayer,Inception-B1,0.2282,0.0171,0.2047,0.261,0.256,0.26,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b1_b4_1x1,10
inception_b1_concat,SecretConcatenateLayer,Inception-B1,0.189,0.0102,0.1732,0.206,0.2018,0.2052,0,0,0,0,0,887808,[],"[1, 768, 17, 17]",inception_b1_b1_relu;inception_b1_b2_relu2;inception_b1_b3_relu3;inception_b1_b4_relu,10
inception_b2_b1_1x1,SGXConvBase,Inception-B2,17.7478,1.2652,17.2314,21.5369,19.6923,21.168,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b1_concat,10
inception_b2_b1_relu,SecretReLULayer,Inception-B2,0.2409,0.0266,0.2119,0.3108,0.2847,0.3056,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b1_1x1,10
inception_b2_b2_1x1,SGXConvBase,Inception-B2,7.7919,0.7141,7.4463,9.927,8.9056,9.7227,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b1_concat,10
inception_b2_b2_relu1,SecretReLULayer,Inception-B2,0.1817,0.0215,0.1636,0.233,0.2172,0.2298,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b2_b2_1x1,10
inception_b2_b2_3x3,SGXConvBase,Inception-B2,2.6762,0.0437,2.6282,2.775,2.7539,2.7708,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b2_b2_relu1,10
inception_b2_b2_relu2,SecretReLULayer,Inception-B2,0.2302,0.0173,0.2103,0.2578,0.2574,0.2577,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b2_3x3,10
inception_b2_b3_1x1,SGXConvBase,Inception-B2,2.3093,0.0944,2.2085,2.5496,2.4628,2.5322,0,0,0,0,887808,147968,"[1, 768, 17, 17]","[1, 128, 17, 17]",inception_b1_concat,10
inception_b2_b3_relu1,SecretReLULayer,Inception-B2,0.1814,0.0169,0.161,0.2145,0.2062,0.2129,0,0,0,0,147968,147968,"[1, 128, 17, 17]","[1, 128, 17, 17]",inception_b2_b3_1x1,10
inception_b2_b3_3x3_1,SGXConvBase,Inception-B2,2.6097,0.0518,2.5139,2.6799,2.6794,2.6798,0,0,0,0,147968,221952,"[1, 128, 17, 17]","[1, 192, 17, 17]",inception_b2_b3_relu1,10
inception_b2_b3_relu2,SecretReLULayer,Inception-B2,0.2286,0.0108,0.2045,0.2451,0.2447,0.2451,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b3_3x3_1,10
inception_b2_b3_3x3_2,SGXConvBase,Inception-B2,10.754,0.0651,10.6372,10.9073,10.8495,10.8958,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b3_relu2,10
inception_b2_b3_relu3,SecretReLULayer,Inception-B2,0.2345,0.0103,0.2102,0.2544,0.2477,0.253,0,0,0,0,221952,221952,"[1, 192, 17, 17]","[1, 192, 17, 17]",inception_b2_b3_3x3_2,10
inception_b2_b4_pool,SecretMaxpool2dLayer,Inception-B2,0.3274,0.0202,0.2994,0.3563,0.3557,0.3562,0,0,0,0,887808,887808,"[1, 768, 17, 17]","[1, 768, 17, 17]",inception_b1_concat,10
inception_b2_b4_1x1,SGXConvBase,Inception-B2,14.6537,0.189,14.4283,15.0815,14.9694,15.0591,0,0,0,0,887808,221952,"[1, 768, 17, 17]","[1, 192, 17, 17]",inception_b2_b4_pool,10
